fromat,preprocess
2012-10-31,2
2013-01-31,5
2012-09-01,0
2013-07-02,10
2013-03-02,6
2012-10-01,1
2012-10-31,2
2013-05-02,8
2013-03-02,6
2013-01-31,5
2012-10-01,1
2013-07-02,10
2013-07-02,10
2013-06-02,9
2013-01-31,5
2013-07-02,10
2012-10-31,2
2013-06-02,9
2013-04-02,7
2013-08-01,11
2013-03-02,6
2013-08-01,11
2013-05-02,8
2013-04-02,7
2013-01-31,5
2013-04-02,7
2012-10-01,1
2013-05-02,8
2013-04-02,7
2012-10-01,1
2012-12-01,3
2013-01-01,4
2013-06-02,9
2012-09-01,0
2013-01-31,5
2013-07-02,10
2013-06-02,9
2012-10-31,2
2013-01-01,4
2013-01-31,5
2013-05-02,8
2013-03-02,6
2012-10-01,1
2012-12-01,3
2013-08-01,11
2012-10-31,2
2012-10-31,2
2012-12-01,3
2013-05-02,8
2013-05-02,8
2013-01-01,4
2012-09-01,0
2013-01-01,4
2013-07-02,10
2012-09-01,0
2013-06-02,9
2013-08-01,11
2012-10-31,2
2012-10-01,1
2013-01-01,4
2012-10-31,2
2012-10-31,2
2013-07-02,10
2013-06-02,9
2013-04-02,7
2012-10-31,2
2013-06-02,9
2013-03-02,6
2013-07-02,10
2012-09-01,0
2013-01-31,5
2013-06-02,9
2013-07-02,10
2013-06-02,9
2012-12-01,3
2012-10-01,1
2012-10-31,2
2013-06-02,9
2012-09-01,0
2012-10-01,1
2013-07-02,10
2013-01-01,4
2013-01-31,5
2013-04-02,7
2013-04-02,7
2013-06-02,9
2013-05-02,8
2013-05-02,8
2013-05-02,8
2013-05-02,8
2013-06-02,9
2013-01-01,4
2012-09-01,0
2012-10-01,1
2013-01-01,4
2012-10-31,2
2013-04-02,7
2013-07-02,10
2013-04-02,7
2013-07-02,10
2013-08-01,11
2013-01-31,5
2013-01-01,4
2013-07-02,10
2012-12-01,3
2012-09-01,0
2013-06-02,9
2013-06-02,9
2012-12-01,3
2013-04-02,7
2013-01-31,5
2012-10-31,2
2012-09-01,0
2013-05-02,8
2012-09-01,0
2013-03-02,6
2013-01-01,4
2013-06-02,9
2013-01-01,4
2012-09-01,0
2013-04-02,7
2013-01-01,4
2013-07-02,10
